fund_symbol,fund_extended_name,fund_family,inception_date,category,investment_strategy,investment_type,size_type,currency,fund_net_annual_expense_ratio,category_net_annual_expense_ratio,asset_stocks,asset_bonds,price_earnings_ratio,price_book_ratio,price_sales_ratio,price_cashflow_ratio,sector_basic_materials,sector_consumer_cyclical,sector_financial_services,sector_real_estate,sector_consumer_defensive,sector_healthcare,sector_utilities,sector_communication_services,sector_energy,sector_industrials,sector_technology,credit_us_government,credit_aaa,credit_aa,credit_a,credit_bbb,credit_bb,credit_b,credit_below_b,credit_other_ratings,net_asset_value,fund_yield,top10_holdings,fund_return_ytd,category_return_ytd,fund_return_1month,category_return_1month,fund_return_3months,category_return_3months,fund_return_1year,category_return_1year,fund_return_3years,category_return_3years,fund_return_5years,category_return_5years,fund_return_10years,category_return_10years,fund_return_2019,category_return_2019,fund_return_2018,category_return_2018,fund_return_2017,category_return_2017,fund_return_2016,category_return_2016,fund_return_2015,category_return_2015,fund_return_2014,category_return_2014,fund_return_2013,category_return_2013,fund_return_2012,category_return_2012,fund_return_2011,category_return_2011,fund_return_2010,category_return_2010,years_up,years_down,fund_alpha_3years,category_alpha_3years,fund_alpha_5years,category_alpha_5years,fund_alpha_10years,category_alpha_10years,fund_beta_3years,category_beta_3years,fund_beta_5years,category_beta_5years,fund_beta_10years,category_beta_10years,fund_mean_annual_return_3years,category_mean_annual_return_3years,fund_mean_annual_return_5years,category_mean_annual_return_5years,fund_mean_annual_return_10years,category_mean_annual_return_10years,fund_r_squared_3years,category_r_squared_3years,fund_r_squared_5years,category_r_squared_5years,fund_r_squared_10years,category_r_squared_10years,fund_standard_deviation_3years,category_standard_deviation_3years,fund_standard_deviation_5years,category_standard_deviation_5years,fund_standard_deviation_10years,category_standard_deviation_10years,fund_sharpe_ratio_3years,category_sharpe_ratio_3years,fund_sharpe_ratio_5years,category_sharpe_ratio_5years,fund_sharpe_ratio_10years,category_sharpe_ratio_10years,fund_treynor_ratio_3years,category_treynor_ratio_3years,fund_treynor_ratio_5years,category_treynor_ratio_5years,fund_treynor_ratio_10years,category_treynor_ratio_10years
GMF,SPDR S&P Emerging Asia Pacific ETF,SPDR State Street Global Advisors,2007/3/19,Pacific/Asia ex-Japan Stk,"The investment seeks to provide investment results that, before fees and expenses, correspond generally to the total return performance of the S&P Asia Pacific Emerging BMI Index based upon the emerging markets of the Asia Pacific region. The fund generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index and in depositary receipts (including ADRs or GDRs) based on securities comprising the index. The index is a market capitalization weighted index designed to define and measure the investable universe of publicly traded companies domiciled in emerging Asian Pacific markets. The fund is non-diversified.",Blend,Large,USD,0.49,0.54,99.46,0,16.93,1.93,1.21,11.54,4.67,21.86,16.58,2.69,6.31,5.56,1.42,13.17,3.76,5.62,18.36,,,,,,,,,,582240000,1.57,"Alibaba Group Holding Ltd ADR: 9.62, Tencent Holdings Ltd: 7.97, Taiwan Semiconductor Manufacturing Co Ltd ADR: 5.44, Meituan: 2.74, Reliance Industries Ltd ADR: 1.68, JD.com Inc ADR: 1.44, China Construction Bank Corp Class H: 1.25, HDFC Bank Ltd: 1.18, Infosys Ltd ADR: 1.12, Ping An Insurance (Group) Co. of China Ltd Class H: 1.02",11.27,9.84,2.68,-1.99,5.74,1,19.77,7.08,5.57,0.24,10.53,3.52,5.6,4.67,19.07,,-13.67,,40.14,,4.57,,-7.86,-8.92,10.62,2.29,2.79,2.83,17.63,20.64,-18.76,-20.26,19.25,19.49,8,4,5.97,2.03,6.02,0.22,2.49,3.33,0.98,1,0.99,0.99,0.98,1.07,0.59,0.11,0.93,0.39,0.57,0.58,77.78,71.83,75.78,74.02,75.62,89.21,17.97,14.81,16.12,15.48,16.58,21.78,0.31,0.08,0.62,0.29,0.38,0.28,4.18,0.17,9.27,3.45,5.14,3.62
GNR,SPDR S&P Global Natural Resources ETF,SPDR State Street Global Advisors,2010/9/13,Natural Resources,"The investment seeks investment results that, before fees and expenses, correspond generally to the total return performance of the S&P Global Natural Resources Index. The fund generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index and in depositary receipts based on securities comprising the index. The index is comprised of 90 of the largest U.S. and foreign publicly traded companies, based on market capitalization, in natural resources and commodities businesses that meet certain investability requirements.",Value,Large,USD,0.4,0.48,99.69,0,17.25,1.26,0.68,6.27,54.83,8.37,0,1.92,4.92,0,0,0,29.03,0.92,0,,,,,,,,,,998130000,3.97,"BHP Group Ltd: 4.27, Nutrien Ltd: 4.19, Exxon Mobil Corp: 3.69, Chevron Corp: 3.47, Total SE: 3.31, Newmont Corp: 3.07, UPM-Kymmene Oyj: 3.03, BP PLC: 2.28, Royal Dutch Shell PLC Class A: 2.28, Reliance Industries Ltd ADR: 2.20",-20.17,20.41,-3.14,0.47,-4.29,5.46,-14.29,22.79,-5.08,-1.54,3.46,3.2,-1.37,3.69,16.45,,-13.11,,22.16,,31.35,,-24.32,-19.13,-10.16,-7.99,0.96,0.42,6.41,9.46,-15.25,-21.15,,,5,4,-10.58,-7.11,-4.96,-9.35,-9.94,-0.04,1.18,1.32,1.18,1.33,1.24,1.28,-0.24,0.03,0.44,0.42,0.05,0.59,85.16,61.16,73.71,65.69,77.65,75.15,21.7,20.01,19.52,20.72,19.32,25.59,-0.2,0.05,0.21,0.31,0,0.26,-5.64,-0.95,1.9,3.06,-1.57,2.49
GOAT,VanEck Vectors Morningstar Global Wide Moat ETF,VanEck,2018/10/30,World Stock,"The investment seeks to replicate as closely as possible, before fees and expenses, the price and yield performance of the Morningstar Global Wide Moat Focus IndexSM (the ""index""). The fund normally invests at least 80% of its total assets in securities that comprise the fund's benchmark index. The index is comprised of securities issued by companies that Morningstar, Inc. determines to have sustainable competitive advantages based on a proprietary methodology that considers quantitative and qualitative factors (""wide moat companies""). The fund is non-diversified.",Blend,Large,USD,0.56,0.4,99.87,0,22.54,3.17,2.75,13.71,4.73,7.92,8.95,0,13.1,24.14,0.96,9.95,1.77,13.11,15.39,,,,,,,,,,10940000,1.08,"Tencent Holdings Ltd: 2.51, Nabtesco Corp: 2.39, Corteva Inc: 2.38, Compass Minerals International Inc: 2.34, ServiceNow Inc: 2.32, Baidu Inc ADR: 2.23, Alphabet Inc A: 2.20, Salesforce.com Inc: 2.15, Applied Materials Inc: 2.09, Pfizer Inc: 2.07",1.39,10.42,-3.18,0.78,0.59,4.75,7.83,15.14,,4.78,,8.77,,2.52,28,,,,,,,,,,,,,,,,,,,,1,0,0,4.54,0,3.23,0,0.43,0,0.92,0,0.87,0,0.85,0,0.45,0,0.77,0,0.33,0,87.26,0,89.84,0,90.95,0,12.44,0,13.12,0,17.05,0,0.46,0,0.72,0,0.18,0,5.66,0,10.19,0,2.04
GOAU,U.S. Global GO GOLD and Precious Metal Miners ETF,U.S. Global Investors,2017/6/27,Equity Precious Metals,"The investment seeks to track the performance, before fees and expenses, of the U.S. Global Go Gold and Precious Metal Miners Index. Under normal circumstances, at least 80 percent of the fund's total assets (exclusive of any collateral held from securities lending) will be invested in the component securities of the index and depositary receipts representing component securities. The index is composed of the exchange-listed common stock (or American Depositary Receipts (""ADRs"")) of U.S. and international (including emerging markets) companies that earn at least 50 percent of their aggregate revenue from precious metals. The fund is non-diversified.",Growth,Medium,USD,0.6,0.57,99.61,0,20.2,2.04,4.17,9.51,100,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,110710000,0.13,"Franco-Nevada Corp: 10.32, Royal Gold Inc: 10.13, Wheaton Precious Metals Corp: 9.75, Maverix Metals Inc: 4.99, Osisko Gold Royalties Ltd: 4.14, Karora Resources Inc: 4.01, Eldorado Gold Corp: 3.87, Sandstorm Gold Ltd: 3.71, B2Gold Corp: 3.31, Centerra Gold Inc: 3.14",19.42,88.2,-6.22,-5.94,-15.82,-14.96,28.31,68.5,20.2,-2.59,,-16.7,,-3.63,53.37,,-10.46,,,,,,,,,,,,,,,,,,1,1,16.79,2.5,0,-18.32,0,0.89,1.26,1.12,0,0.98,0,0.66,2.08,0.56,0,-0.84,0,0.38,31.29,14.85,0,14.79,0,7.46,38.32,45.31,0,40.33,0,40.9,0.61,0.05,0,-0.31,0,0.09,14.69,-0.7,0,-19.42,0,-6.73
GOEX,Global X Gold Explorers ETF,Global X Funds,2010/11/3,Equity Precious Metals,"The investment seeks to provide investment results that correspond generally to the price and yield performance, before fees and expenses, of the Solactive Global Gold Explorers & Developers Total Return Index. The fund invests at least 80% of its total assets in the securities of the index and in American Depositary Receipts and Global Depositary Receipts based on the securities in the underlying index. The underlying index is a free float-adjusted, liquidity-tested and market capitalization-weighted index that is designed to measure broad-based equity market performance of global companies involved in gold exploration. It is non-diversified.",Blend,Small,USD,0.65,0.57,99.9,0,20.43,1.96,2.37,8.74,100,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,60690000,1.31,"SSR Mining Inc: 6.47, Endeavour Mining Corp: 5.17, Novagold Resources Inc: 4.25, Saracen Mineral Holdings Ltd: 4.22, Hecla Mining Co: 4.11, B2Gold Corp: 4.03, Alamos Gold Inc: 3.92, Pretium Resources Inc: 3.86, Kirkland Lake Gold Ltd: 3.60, Eldorado Gold Corp: 3.57",25.2,88.2,-4.71,-5.94,-12.04,-14.96,33.87,68.5,16.48,-2.59,21.66,-16.7,,-3.63,36.41,,-14.1,,11.24,,79.94,,-12.26,-32.93,-7.1,-14.65,-61.9,-49.99,-27.54,-11.91,-41.93,-30.14,,,3,6,13.28,2.5,18.6,-18.32,0,0.89,1.32,1.12,1.23,0.98,0,0.66,1.81,0.56,2.43,-0.84,0,0.38,35.69,14.85,13.96,14.79,0,7.46,37.53,45.31,46.58,40.33,0,40.9,0.54,0.05,0.6,-0.31,0,0.09,11.4,-0.7,16.81,-19.42,0,-6.73
GOVT,iShares U.S. Treasury Bond ETF,iShares,2012/2/14,Intermediate Government,"The investment seeks to track the investment results of the ICE U.S. Treasury Core Bond Index (the ""underlying index""). The fund generally will invest at least 90% of its assets in the component securities of the underlying index and may invest up to 10% of its assets in certain futures, options and swap contracts, cash and cash equivalents, as well as in securities not included in the underlying index, but which the advisor believes will help the fund track the index. The underlying index measures the performance of public obligations of the U.S. Treasury that have a remaining maturity greater than one year and less than or equal to thirty years.",,,USD,0.15,0.11,0,96.64,,,,,,,,,,,,,,,,0,100,0,0,0,0,0,0,0,15060000000,1.47,"United States Treasury Notes 2.38%: 4.68, BlackRock Cash Funds Treasury SL Agency: 3.43, United States Treasury Bonds 3.75%: 2.74, United States Treasury Notes 0.63%: 2.61, United States Treasury Notes 1.63%: 2.33, United States Treasury Notes 1.88%: 2.27, United States Treasury Notes 2.75%: 2.22, United States Treasury Notes 2.25%: 2.17",7.58,3.9,-1.1,0.16,-2.07,-0.08,6.66,3.13,5.07,2.87,3.46,1.95,,,6.71,,0.74,,2.19,,0.92,,0.76,1.24,4.99,4.14,-2.84,-2.25,,,,,,,6,1,0.07,-0.78,-0.67,-0.74,0,,1,0.91,1.05,0.88,0,,0.42,0.24,0.3,0.16,0,,60.36,82.14,69.13,84.89,0,,4.36,2.62,4.01,2.54,0,,0.81,1.08,0.6,0.76,0,,3.51,3.16,2.22,2.17,0,
GQRE,FlexShares Global Quality Real Estate Index Fund,Flexshares Trust,2013/11/5,Global Real Estate,"The investment seeks investment results that correspond generally to the price and yield performance, before fees and expenses, of the Northern Trust Global Quality Real Estate IndexSM. The index is designed to reflect the performance of a selection of companies that, in aggregate, possess greater exposure to quality, value and momentum factors relative to the Northern Trust Global Real Estate Index. The fund will invest at least 80% of its total assets in the securities of the index and in ADRs and GDRs based on the securities in the index. The fund is non-diversified.",Blend,Medium,USD,0.45,0.53,98.53,0,16.88,1.33,5.15,15.32,0,0.43,0,99.4,0,0,0,0,0,0.16,0,,,,,,,,,,264580000,4.97,"Prologis Inc: 6.84, Public Storage: 4.60, American Tower Corp: 3.88, Welltower Inc: 3.65, Weyerhaeuser Co: 3.32, AvalonBay Communities Inc: 3.19, Alexandria Real Estate Equities Inc: 3.11, Equity Residential: 2.85, Sun Hung Kai Properties Ltd: 2.77, Goodman Group: 2.73",-20.31,4.52,-3.25,-4.64,-3.38,-6.47,-20.53,-0.29,-3.28,2.55,0.69,7.42,,,21.84,,-9.06,,13.42,,3.97,,3.5,-0.15,17.01,8.88,,,,,,,,,5,1,-7.65,0.11,-5.91,0.33,0,,0.86,0.84,0.87,0.93,0,,-0.13,0.28,0.16,0.68,0,,69.36,54.98,67.07,57.32,0,,17.62,12.89,15.1,14.13,0,,-0.18,0.25,0.05,0.57,0,,-5.48,3.23,-0.48,8.11,0,
GREK,Global X MSCI Greece ETF,Global X Funds,2011/12/7,Miscellaneous Region,"The investment seeks to provide investment results that correspond generally to the price and yield performance, before fees and expenses, of the MSCI All Greece Select 25u002F50 Index. The fund invests at least 80% of its total assets in the securities of the underlying index and in American Depositary Receipts (""ADRs"") and Global Depositary Receipts (""GDRs"") based on the securities in the underlying index. The underlying index is designed to represent the performance of the broad Greece equity universe. The fund is non-diversified.",Value,Small,USD,0.57,0.53,99.7,0,8.29,0.79,0.61,4.12,3.6,20.72,14.27,2.93,2.34,0,13.38,20.69,10.45,11.62,0,,,,,,,,,,109010000,3.89,"Hellenic Telecommunication Organization SA: 20.62, Jumbo SA: 5.71, Greek Organisation of Football Prognostics SA: 5.53, Greek Organisation of Football Prognostics SA ADR: 5.06, Public Power Corp SA: 4.38, Terna Energy SA: 4.37, Jumbo SA ADR: 4.36, Mytilineos SA ADR: 4.27, Alpha Bank AE: 4.02, National Bank of Greece SA: 3.83",-40.74,,-10.44,,-9.05,,-37.98,,-11.49,,-8.73,,,,49.33,,-29.9,,32.19,,-1.16,,-39.34,,-38.18,-7.65,26.93,10,23.27,,,,,,4,4,-8.97,,-11.72,,0,,1.43,,1.48,,0,,-0.67,,-0.38,,0,,60.6,,50.42,,0,,29.84,,29.74,,0,,-0.32,,-0.19,,0,,-9.48,,-6.71,,0,
GRID,First Trust NASDAQ Clean Edge Smart Grid Infrastructure Index Fund,First Trust,2009/11/16,Miscellaneous Sector,"The investment seeks investment results that correspond generally to the price and yield (before the fund's fees and expenses) of an equity index called the NASDAQ OMX Clean Edge Smart Grid Infrastructure IndexSM. The fund will normally invest at least 90% of its net assets (including investment borrowings) in the common stocks and depositary receipts that comprise the index. The index includes companies that are primarily engaged and involved in electric grid, electric meters and devices, networks, energy storage and management, and enabling software used by the smart grid infrastructure sector. The fund is non-diversified.",Blend,Medium,USD,0.7,0.67,99.59,0,24.04,2.73,1.46,12.77,0.03,12.26,0,0,0,0,9.45,0,0,56.08,22.18,,,,,,,,,,73510000,0.78,"Aptiv PLC: 8.88, Johnson Controls International PLC: 8.08, Eaton Corp PLC: 7.94, Schneider Electric SE: 7.49, ABB Ltd: 7.37, Enphase Energy Inc: 5.16, Quanta Services Inc: 4.75, SolarEdge Technologies Inc: 4.75, Prysmian SpA: 3.81, Terna SpA: 3.61",17.35,,1.45,,10.63,,25.99,,9.3,,15.48,,8.57,,42.11,,-22.3,,28.19,,24.76,,-6.9,,-0.72,-2.79,24.41,39.79,19.71,25.42,-20.88,-2.66,-0.23,2.13,5,5,3.79,,5.76,,0.2,,1.23,,1.22,,1.14,,0.99,,1.36,,0.82,,79.86,,77.14,,75.24,,23.42,,19.67,,18.06,,0.44,,0.77,,0.51,,6.4,,11.58,,6.96,
GRNB,VanEck Vectors Green Bond ETF,VanEck,2017/3/3,,"The investment seeks to replicate as closely as possible, before fees and expenses, the price and yield performance of the S&P Green Bond U.S. Dollar Select Index (the ""index""). The fund normally invests at least 80% of its total assets in securities that comprise the fund's benchmark index. The index is comprised of bonds issued for qualified ""green"" purposes and seeks to measure the performance of U.S. dollar denominated ""green""-labeled bonds issued globally. The fund is non-diversified.",Blend,Small,USD,0.2,,0,98.61,,,,,,,,,,,,,,,,0,20.95,12.18,21.98,18.93,9.4,0.8,0,15.75,41270000,2.42,"Federal National Mortgage Association 3.05%: 2.21, Republic of Chile 3.5%: 1.75, Kreditanstalt Fur Wiederaufbau 1.75%: 1.70, European Investment Bank 2.5%: 1.65, Kreditanstalt Fur Wiederaufbau 2%: 1.57, Bank of America Corporation 3.5%: 1.55, Federal National Mortgage Association 3.55%: 1.43, European Investment Bank 2.88%: 1.35, Boston Properties Limited Partnership 4.5%: 1.29, Apple Inc. 3%: 1.23",6.25,,-0.24,,-0.6,,5.6,,3.02,,,,,,5.53,,-4.03,,,,,,,,,,,,,,,,,,1,1,-1.67,,,,,,0.88,,,,,,0.24,,,,,,38.78,,,,,,4.74,,,,,,0.28,,,,,,1.44,,,,,
GSD,WisdomTree Global SmallCap Dividend Fund,WisdomTree,2015/11/12,,"The investment seeks to track the price and yield performance of the WisdomTree Global SmallCap Dividend Index. The fund will invest at least 80% of its total assets in component securities of the index and investments that have economic characteristics that are substantially identical to the economic characteristics of such component securities. The index is a fundamentally weighted index that consists of small-capitalization companies selected from the WisdomTree Global Dividend Index, which defines the dividend-paying universe of companies in the United States, developed countries, and emerging markets throughout the world. The fund is non-diversified.",Value,Small,USD,0.43,,99.93,0,12.7,1.4,0.69,6.59,7.82,19.92,13.64,12.7,8.79,2.32,6.26,1.27,3.27,15.99,8.02,,,,,,,,,,15320000,3.23,"Pattern Energy Group Inc Class A: 1.52, Vector Group Ltd: 1.50, Pitney Bowes Inc: 1.18, Tupperware Brands Corp: 1.08, Buckle Inc: 1.00, GameStop Corp Class A: 0.94, B&G Foods Inc: 0.90, Lexington Realty Trust: 0.89, Semgroup Corp: 0.85, Office Properties Income Trust: 0.81",12.17,,3.07,,2.11,,-0.94,,12.65,,,,,,,,-13.81,,15.42,,24.01,,,,,,,,,,,,,,2,1,3.43,,,,,,0.85,,,,,,1.07,,,,,,58.55,,,,,,12.65,,,,,,0.91,,,,,,13.56,,,,,
GSEU,Goldman Sachs ActiveBeta Europe Equity ETF,Goldman Sachs,2016/3/2,Europe Stock,"The investment seeks to provide investment results that closely correspond, before fees and expenses, to the performance of the Goldman Sachs ActiveBeta Europe Equity Index (the ""index""). The fund seeks to achieve its investment objective by investing at least 80% of its assets (exclusive of collateral held from securities lending) in securities included in its underlying index, in depositary receipts representing securities included in its underlying index and in underlying stocks in respect of depositary receipts included in its underlying index. The index is designed to deliver exposure to equity securities of developed markets issuers in Europe.",Blend,Large,USD,0.25,0.44,99.97,0,21.11,1.96,0.99,9.33,7.41,12.3,10.94,1.13,15.96,17.57,5.35,6.05,2.26,14.14,6.89,,,,,,,,,,15150000,2.59,"Nestle SA: 3.56, Roche Holding AG Dividend Right Cert.: 2.66, Novartis AG: 1.73, ASML Holding NV: 1.37, LVMH Moet Hennessy Louis Vuitton SE: 1.36, Novo Nordisk A/S B: 1.35, AstraZeneca PLC: 1.28, L'Oreal SA: 1.14, Sanofi SA: 1.10, SAP SE: 1.05",-11.29,,-5.55,0.72,-3.01,5.55,-6.51,3.94,-1.4,0.3,,8.18,,1.23,24.47,,-13.98,,26.55,,,,,,,,,,,,,,,,2,1,-0.9,0.41,0,2.25,0,-0.65,1,1.03,0,0.99,0,1.07,0.02,0.12,0,0.76,0,0.3,95.85,77.47,0,81.23,0,90.5,16.58,14.89,0,15.69,0,21.6,-0.08,0.09,0,0.57,0,0.13,-2.73,0.63,0,8.36,0,0.38
GSEW,Goldman Sachs Equal Weight U.S. Large Cap Equity ETF,Goldman Sachs,2017/9/12,Large Blend,"The investment seeks to provide investment results that closely correspond, before fees and expenses, to the performance of the Solactive US Large Cap Equal Weight Index (GTR). The fund seeks to achieve its investment objective by investing at least 80% of its assets (exclusive of collateral held from securities lending) in securities included in its underlying index. The index consists of equity securities of large capitalization U.S. issuers. The index is an equal-weight version of the Solactive US Large Cap Index, a market capitalization-weighted index that includes equity securities of approximately 500 of the largest U.S. companies.",Blend,Large,USD,0.09,0.36,100,0,22.69,2.58,1.55,12.05,3.51,8.24,13.84,6.91,6.82,15.16,6.34,5.58,3.67,12.78,17.14,,,,,,,,,,354480000,1.83,"Snap Inc Class A: 0.31, Align Technology Inc: 0.28, General Electric Co: 0.25, Alphabet Inc A: 0.24, Alphabet Inc Class C: 0.24, Baker Hughes Co Class A: 0.24, Exact Sciences Corp: 0.24, ResMed Inc: 0.24, Xilinx Inc: 0.24, Waters Corp: 0.23",-1.44,7.5,-1.09,-0.25,1.07,3.2,4.98,13.45,7.54,10.14,,15.76,,7.33,30.5,,-7.28,,,,,,,,,,,,,,,,,,1,1,-2.91,-0.65,0,-0.48,0,0.15,1.07,0.98,0,1,0,1,0.78,0.86,0,1.28,0,0.69,95.16,94.06,0,95.34,0,96.99,19.6,10.9,0,11.38,0,15.42,0.4,0.94,0,1.34,0,0.48,5.67,10.38,0,15.73,0,6.54
GSIE,Goldman Sachs ActiveBeta International Equity ETF,Goldman Sachs,2015/11/6,Foreign Large Blend,"The investment seeks to provide investment results that closely correspond, before fees and expenses, to the performance of the Goldman Sachs ActiveBeta International Equity Index. The fund invests at least 80% of its assets (exclusive of collateral held from securities lending) in securities included in its underlying index, in depositary receipts representing securities included in its underlying index and in underlying stocks in respect of depositary receipts included in its underlying index. The index is designed to deliver exposure to equity securities of developed market issuers outside of the United States.",Blend,Large,USD,0.25,0.37,100,0,20.02,1.77,0.95,8.81,6.55,11.32,14.15,1.71,15.33,14.28,4.33,6.68,2.52,14.48,8.64,,,,,,,,,,1750000000,2.3,"Nestle SA: 2.01, Roche Holding AG Dividend Right Cert.: 1.42, Novartis AG: 0.92, LVMH Moet Hennessy Louis Vuitton SE: 0.79, Novo Nordisk A/S B: 0.72, L'Oreal SA: 0.68, AstraZeneca PLC: 0.64, Sanofi SA: 0.57, Hoya Corp: 0.55, Royal Bank of Canada: 0.55",-9.05,4.11,-3.77,1.28,-0.49,5.62,-4.97,8.19,-0.12,0.78,,7.15,,1.76,22.22,,-12.93,,25.73,,1.69,,,,,,,,,,,,,,3,1,0,0.72,0,1.34,0,-0.3,0.95,1.01,0,0.95,0,0.96,0.1,0.14,0,0.66,0,0.3,96.92,91.75,0,93.83,0,93.95,15.68,13.42,0,13.95,0,19.03,-0.03,0.15,0,0.57,0,0.14,-1.76,1.18,0,7.64,0,0.97
GSJY,Goldman Sachs ActiveBeta Japan Equity ETF,Goldman Sachs,2016/3/2,Japan Stock,"The investment seeks to provide investment results that closely correspond, before fees and expenses, to the performance of the Goldman Sachs ActiveBeta Japan Equity Index (the ""index""). The fund seeks to achieve its investment objective by investing at least 80% of its assets (exclusive of collateral held from securities lending) in securities included in its underlying index, in depositary receipts representing securities included in its underlying index and in underlying stocks in respect of depositary receipts included in its underlying index. The index is designed to deliver exposure to equity securities of Japanese issuers.",Blend,Large,USD,0.25,0.4,100,0,18.95,1.32,0.76,8.02,4.03,14.89,8.36,2.23,9.25,12.73,1.52,11.03,1.57,18.69,15.69,,,,,,,,,,19360000,2.58,"Toyota Motor Corp: 3.22, Sony Corp: 2.70, SoftBank Group Corp: 2.31, Keyence Corp: 1.88, NTT DOCOMO Inc: 1.60, Nintendo Co Ltd: 1.55, KDDI Corp: 1.23, Daiichi Sankyo Co Ltd: 1.18, Mini TOPIX Future Dec 20: 1.16, Recruit Holdings Co Ltd: 1.16",-1.44,-2.36,-2.07,3.36,6.59,4.74,0.92,-2.18,2.28,6.11,,9.49,,1.68,18.28,,-10.52,,24.52,,,,,,,,,,,,,,,,2,1,1.81,7.45,0,6.7,0,0.53,0.66,0.76,0,0.77,0,0.6,0.26,0.58,0,0.85,0,0.24,68.08,48.25,0,50.76,0,52.58,13.07,14.04,0,14.75,0,15.81,0.12,0.5,0,0.68,0,0.14,1.03,8.6,0,12.36,0,1.92
GSLC,Goldman Sachs ActiveBeta U.S. Large Cap Equity ETF,Goldman Sachs,2015/9/17,Large Blend,"The investment seeks to provide investment results that closely correspond, before fees and expenses, to the performance of the Goldman Sachs ActiveBeta U.S. Large Cap Equity Index. The fund seeks to achieve its investment objective by investing at least 80% of its assets (exclusive of collateral held from securities lending) in securities included in its underlying index, in depositary receipts representing securities included in its underlying index and in underlying stocks in respect of depositary receipts included in its underlying index. The index is designed to deliver exposure to equity securities of large capitalization U.S. issuers.",Blend,Large,USD,0.09,0.36,100,0,25.27,3.87,1.97,13.71,1,12.68,8.41,3.04,9.75,16.22,3.1,10.36,0.71,8.17,26.55,,,,,,,,,,9800000000,1.58,"Apple Inc: 5.63, Microsoft Corp: 4.76, Amazon.com Inc: 4.07, Facebook Inc A: 2.01, Alphabet Inc A: 1.46, Alphabet Inc Class C: 1.42, Johnson & Johnson: 1.14, The Home Depot Inc: 1.08, Walmart Inc: 0.98, Procter & Gamble Co: 0.83",3.98,7.5,-2.5,-0.25,0.24,3.2,10.48,13.45,10.95,10.14,11.47,15.76,,7.33,30.91,,-4.01,,22.49,,8.66,,,,,,,,,,,,,,3,1,0.57,-0.65,-0.04,-0.48,0,0.15,0.98,0.98,0.98,1,0,1,0.99,0.86,1,1.28,0,0.69,99.65,94.06,99.28,95.34,0,96.99,17.59,10.9,14.39,11.38,0,15.42,0.59,0.94,0.75,1.34,0,0.48,9.49,10.38,10.5,15.73,0,6.54
GSSC,Goldman Sachs ActiveBeta U.S. Small Cap Equity ETF,Goldman Sachs,2017/6/28,Small Blend,"The investment seeks to provide investment results that closely correspond, before fees and expenses, to the performance of the Goldman Sachs ActiveBeta U.S. Small Cap Equity Index. The fund invests at least 80% of its assets in securities included in its index. The index is designed to deliver exposure to equity securities of small capitalization U.S. issuers. The index is constructed using the patented ActiveBeta Portfolio Construction Methodology, which was developed to provide exposure to the ""factors"" that are commonly tied to a stock's outperformance relative to market returns. These factors include value, momentum, quality and low volatility.",Blend,Small,USD,0.2,0.4,100,0,15.92,1.77,0.85,7.57,3.47,12.09,16.12,6.86,4.31,18.23,3.77,2.56,1.27,16.48,14.83,,,,,,,,,,158800000,1.3,"E-mini Russell 2000 Index Future Dec 20: 0.53, Deckers Outdoor Corp: 0.45, iRhythm Technologies Inc: 0.36, LHC Group Inc: 0.36, SiteOne Landscape Supply Inc: 0.34, Builders FirstSource Inc: 0.32, Darling Ingredients Inc: 0.32, Lattice Semiconductor Corp: 0.31, BMC Stock Holdings Inc: 0.30, Redfin Corp: 0.30",-7.66,6.65,2.58,-4.12,4.34,-2.26,-2.62,3.71,1.81,4.58,,12.14,,6.1,23.43,,-8.72,,,,,,,,,,,,,,,,,,1,1,-8.79,-4.11,0,-2.26,0,-1.12,1.15,1.06,0,1.1,0,1.21,0.35,0.46,0,1.04,0,0.67,84.81,63.81,0,69.4,0,82.9,22.32,14.26,0,13.72,0,20.3,0.12,0.38,0,0.9,0,0.36,0.09,4.28,0,10.96,0,4.39
